[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:154.140672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:308.281344, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:462.422016, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:154.140672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:308.281344, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:462.422016, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:3.612672, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
[time]:0, [core_id]:0, [task_id]:-1, [power]:2.408448, [type]:sram_write
